Package	Version	Use
jsonpointer	2.1	Webapp
kiwisolver	1.4.8	Webapp
lcms2	2.16	Webapp
lerc	4.0.0	Webapp
libaec	1.1.3	Webapp
libarchive	3.7.4	Webapp
libblas	3.9.0	Webapp
libbrotlicommon	1.1.0	Webapp
libbrotlidec	1.1.0	Webapp
libbrotlienc	1.1.0	Webapp
libcblas	3.9.0	Webapp
libcurl	8.9.1	Webapp
libdeflate	1.20	Webapp
libexpat	2.6.3	Webapp
libffi	3.4.4	Webapp
libiconv	1.16	Webapp
libjpeg-turbo	3.1.0	Webapp
liblapack	3.9.0	Webapp
libmamba	1.5.8	Webapp
libmambapy	1.5.8	Webapp
libpng	1.6.43	Webapp
libsolv	0.7.24	Webapp
libsqlite	3.47.2	Webapp
libssh2	1.11.0	Webapp
libtiff	4.6.0	Webapp
libwebp-base	1.5.0	Webapp
libxcb	1.15	Webapp
libxml2	2.13.1	Webapp
libzlib	1.2.13	Webapp
logistro	1.1.0	Webapp
lz4-c	1.9.4	Webapp
m2w64-gcc-libgfortran	5.3.0	Webapp
m2w64-gcc-libs	5.3.0	Webapp
m2w64-gcc-libs-core	5.3.0	Webapp
m2w64-gmp	6.1.0	Webapp
m2w64-libwinpthread-git	5.0.0.4634.697f757	Webapp
matplotlib-base	3.10.1	Webapp
menuinst	2.1.2	Webapp
mizani	0.13.5	Webapp
mkl	2023.1.0	Webapp
mkl-service	2.4.0	Webapp
mkl_fft	1.3.11	Webapp
mkl_random	1.2.8	Webapp
msys2-conda-epoch	20160418	Webapp
munkres	1.1.4	Webapp
natsort	8.4.0	Webapp
numexpr	2.10.1	Webapp
numpy	1.26.4	Webapp
numpy-base	1.26.4	Webapp
openjpeg	2.5.2	Webapp
openpyxl	3.1.5	Webapp
openssl	3.5.2	Webapp
orjson	3.11.3	Webapp
packaging	24.1	Webapp
pandas	2.2.2	Webapp
patsy	1.0.1	Webapp
pcre2	10.42	Webapp
pip	24.2	Webapp
platformdirs	3.10.0	Webapp
plotnine	0.14.6	Webapp
pluggy	1.0.0	Webapp
pthread-stubs	0.4	Webapp
pybind11-abi	5	Webapp
pycosat	0.6.6	Webapp
pycparser	2.21	Webapp
pysocks	1.7.1	Webapp
pytest	7.4.4	Webapp
python	3.12.3	Webapp
python-dateutil	2.9.0post0	Webapp
python-kaleido	1.0.0	Webapp
python-tzdata	2023.3	Webapp
python_abi	3.12	Webapp
pytz	2024.1	Webapp
qhull	2020.2	Webapp
reproc	14.2.4	Webapp
reproc-cpp	14.2.4	Webapp
requests	2.32.3	Webapp
ruamel.yaml	0.18.6	Webapp
ruamel.yaml.clib	0.2.8	Webapp
scikit-bio	0.6.2	Webapp
scipy	1.14.1	Webapp
setuptools	75.1.0	Webapp
simplejson	3.20.1	Webapp
six	1.16.0	Webapp
sqlalchemy	2.0.37	Webapp
sqlite	3.45.3	Webapp
statsmodels	0.14.4	Webapp
tbb	2021.8.0	Webapp
tk	8.6.14	Webapp
tomli	2.2.1	Webapp
tqdm	4.66.5	Webapp
